timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-01-31T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,1.6400000000000006,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,1.85,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.65,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.954,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.266,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.922,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.08,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,1.6000000000000005,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,10.49,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,95.188,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,1.491,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.47265,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,1.159,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,4.0,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,1.67,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,1.28,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.08,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,2.331,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,0.9,43.4726333,-70.3605167,0x5e54227b
2026-01-31T00:35:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,95.123,43.4726333,-70.3605167,0x5e54227b
