timestamp,sensorPosition,data_type_name,unit_type,units,value,latitude,longitude,configuration_checksum
2026-03-30T00:05:10.000Z,1,bm_soft_temperature_mean_13bits,temperature,°C,3.4700000000000006,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_abs_speed_mean_15bits,speed,cm/s,15.25,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_abs_speed_std_15bits,speed,cm/s,2.11,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_abs_tilt_mean_8bits,tilt,rad,0.09,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.067,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,3,bm_do_quality_mean_10bits,quality_ratio,unitless,0.918,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_direction_circ_mean_13bits,direction,rad,4.173,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_temperature_mean_13bits,temperature,°C,3.4700000000000006,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,3,bm_do_mg_per_l_mean_17bits,mass_concentration,mg/L,10.641,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,3,bm_do_salinity_mean_13bits,mass_ratio,parts per thousand,35.0,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,3,bm_do_saturation_pct_mean_18bits,percentage,%,100.152,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,3,bm_do_temperature_mean_16bits,temperature,°C,3.465,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:05:10.000Z,2,aanderaa_std_tilt_mean_8bits,tilt,rad,0.02,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:35:10.000Z,2,aanderaa_direction_circ_std_13bits,direction,rad,0.097,43.4727333,-70.3606167,0x5e54227b
2026-03-30T00:35:10.000Z,2,aanderaa_reading_count_10bits,reading_count,count,5.0,43.4727333,-70.3606167,0x5e54227b
